** CONVERTED FROM ss00r01.edf using edfapi 4.2.762.0 Linux   standalone Jul 20 2023 on Thu Oct 17 13:11:11 2024
** DATE: Sat Oct 12 03:26:32 2024
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.51 Mar 13 2010
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BH9
** SERIAL NUMBER: CLO-ZAD17
** CAMERA_CONFIG: ZAD17140.SCD
**

MSG	1207252 DISPLAY_COORDS  0 0 1919 1079
MSG	1207264 RECCFG CR 1000 1 1 L
MSG	1207264 ELCLCFG TOWER
MSG	1207264 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	1207264 THRESHOLDS L 58 218
MSG	1207264 ELCL_PROC ELLIPSE  (5)
MSG	1207264 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	1207265 !MODE RECORD CR 1000 1 1 L
START	1207266 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
1207479	   .	   .	    0.0	...
1207480	   .	   .	    0.0	...
1207481	   .	   .	    0.0	...
1207482	   .	   .	    0.0	...
EBLINK L 1207412	1207482	71
1207483	  988.0	 1386.1	  861.0	...
1207484	  988.0	 1386.1	  861.0	...
1207485	  995.3	 1336.6	  920.0	...
1207486	 1000.2	 1296.0	  993.0	...
1207487	  988.0	 1266.0	 1043.0	...
1207488	  998.7	 1221.2	 1096.0	...
1207489	  994.1	  990.3	 1448.0	...
1207490	  995.7	  975.9	 1448.0	...
1207491	  993.0	  953.8	 1507.0	...
1207492	 1000.9	  907.0	 1572.0	...
1207493	 1012.8	  858.0	 1641.0	...
1207494	 1015.9	  842.4	 1670.0	...
1207495	 1026.9	  791.1	 1787.0	...
1207496	 1031.5	  766.3	 1831.0	...
1207497	 1036.7	  729.9	 1908.0	...
1207498	 1036.3	  725.4	 1914.0	...
1207499	 1037.7	  710.6	 1936.0	...
1207500	 1042.9	  673.3	 2027.0	...
1207501	 1042.5	  658.5	 2059.0	...
1207502	 1044.7	  658.5	 2076.0	...
1207503	 1047.5	  640.9	 2104.0	...
1207504	 1047.3	  632.5	 2143.0	...
1207505	 1049.5	  618.1	 2180.0	...
1207506	 1053.1	  605.1	 2206.0	...
1207507	 1054.5	  595.2	 2243.0	...
1207508	 1054.4	  588.3	 2280.0	...
1207509	 1052.1	  588.3	 2280.0	...
1207510	 1053.1	  581.1	 2282.0	...
1207511	 1054.0	  581.1	 2283.0	...
1207512	 1052.3	  591.1	 2283.0	...
1207513	 1052.0	  591.1	 2287.0	...
1207514	 1052.0	  589.4	 2290.0	...
ESACC L  1207393	1207514	122	  990.5	  639.8	 1051.8	  590.2	   1.71	   1294
SFIX L   1207515
1207515	 1051.4	  589.9	 2291.0	...
1207516	 1046.7	  590.5	 2292.0	...
1207517	 1046.7	  590.5	 2291.0	...
1207518	 1047.0	  589.5	 2291.0	...
1207519	 1047.0	  589.5	 2313.0	...
1207520	 1047.0	  595.2	 2313.0	...
1207521	 1047.2	  593.8	 2316.0	...
1207522	 1047.6	  592.6	 2316.0	...
1207523	 1047.6	  592.6	 2328.0	...
1207524	 1043.3	  598.2	 2328.0	...
1207525	 1043.6	  596.5	 2312.0	...
1207526	 1044.0	  596.5	 2316.0	...
1207527	 1043.7	  601.2	 2316.0	...
1207528	 1043.7	  601.2	 2293.0	...
1207529	 1040.1	  602.6	 2293.0	...
1207530	 1040.4	  600.8	 2293.0	...
1207531	 1039.0	  600.8	 2305.0	...
1207532	 1039.2	  599.7	 2305.0	...
1207533	 1042.0	  599.6	 2281.0	...
1207534	 1039.4	  608.0	 2281.0	...
1207535	 1039.4	  608.0	 2283.0	...
1207536	 1039.7	  606.3	 2283.0	...
1207537	 1039.5	  606.3	 2249.0	...
1207538	 1039.0	  609.2	 2249.0	...
1207539	 1038.7	  610.6	 2255.0	...
1207540	 1037.8	  610.5	 2256.0	...
1207541	 1037.9	  610.3	 2257.0	...
1207542	 1037.9	  610.1	 2253.0	...
1207543	 1039.3	  610.1	 2249.0	...
1207544	 1039.0	  612.0	 2249.0	...
1207545	 1037.2	  612.0	 2245.0	...
1207546	 1037.3	  611.7	 2245.0	...
1207547	 1037.2	  611.7	 2241.0	...
1207548	 1036.6	  614.6	 2241.0	...
1207549	 1036.6	  614.6	 2246.0	...
1207550	 1036.3	  616.6	 2252.0	...
1207551	 1032.3	  618.7	 2256.0	...
1207552	 1032.3	  618.7	 2256.0	...
1207553	 1034.5	  618.6	 2263.0	...
1207554	 1037.1	  618.5	 2263.0	...
1207555	 1037.1	  618.5	 2264.0	...
1207556	 1036.5	  616.2	 2264.0	...
1207557	 1038.1	  613.9	 2256.0	...
1207558	 1038.1	  613.9	 2256.0	...
1207559	 1033.0	  619.4	 2258.0	...
1207560	 1033.0	  619.4	 2259.0	...
1207561	 1034.3	  616.7	 2259.0	...
1207562	 1034.4	  616.3	 2259.0	...
1207563	 1034.4	  616.3	 2260.0	...
1207564	 1033.6	  614.9	 2261.0	...
1207565	 1033.6	  614.9	 2265.0	...
1207566	 1034.2	  619.0	 2268.0	...
1207567	 1034.0	  619.0	 2268.0	...
1207568	 1033.9	  617.7	 2248.0	...
1207569	 1034.4	  618.6	 2248.0	...
1207570	 1034.4	  618.6	 2249.0	...
1207571	 1032.2	  618.7	 2250.0	...
1207572	 1032.2	  618.7	 2250.0	...
1207573	 1029.4	  619.0	 2252.0	...
1207574	 1029.3	  619.2	 2253.0	...
1207575	 1029.5	  620.2	 2256.0	...
1207576	 1029.7	  620.1	 2259.0	...
1207577	 1029.7	  620.0	 2267.0	...
1207578	 1029.9	  619.2	 2267.0	...
1207579	 1030.0	  618.3	 2262.0	...
1207580	 1030.3	  617.6	 2259.0	...
1207581	 1030.4	  617.6	 2257.0	...
1207582	 1030.6	  616.2	 2257.0	...
1207583	 1029.6	  616.0	 2259.0	...
1207584	 1029.7	  615.7	 2261.0	...
1207585	 1028.9	  615.7	 2259.0	...
1207586	 1028.4	  618.8	 2259.0	...
1207587	 1028.4	  624.7	 2259.0	...
1207588	 1028.4	  624.7	 2259.0	...
1207589	 1028.9	  621.4	 2258.0	...
1207590	 1028.9	  621.9	 2258.0	...
1207591	 1028.8	  621.8	 2263.0	...
1207592	 1028.8	  621.8	 2263.0	...
1207593	 1028.8	  621.8	 2260.0	...
1207594	 1028.5	  623.2	 2260.0	...
1207595	 1028.5	  623.2	 2279.0	...
1207596	 1028.6	  623.0	 2279.0	...
1207597	 1028.0	  622.7	 2259.0	...
1207598	 1027.9	  619.8	 2259.0	...
1207599	 1027.3	  618.8	 2253.0	...
1207600	 1027.0	  618.8	 2253.0	...
1207601	 1026.6	  620.0	 2262.0	...
1207602	 1026.6	  620.0	 2262.0	...
1207603	 1027.7	  620.0	 2262.0	...
1207604	 1027.3	  622.5	 2264.0	...
1207605	 1028.7	  622.5	 2266.0	...
1207606	 1028.2	  622.5	 2268.0	...
1207607	 1028.0	  620.3	 2264.0	...
1207608	 1027.5	  619.2	 2261.0	...
1207609	 1026.7	  619.2	 2261.0	...
1207610	 1025.8	  621.8	 2264.0	...
1207611	 1025.7	  622.2	 2267.0	...
1207612	 1023.5	  622.6	 2267.0	...
1207613	 1024.0	  619.5	 2264.0	...
1207614	 1023.5	  620.3	 2265.0	...
1207615	 1023.5	  620.3	 2266.0	...
1207616	 1026.1	  620.2	 2272.0	...
1207617	 1026.4	  619.1	 2273.0	...
1207618	 1026.4	  619.1	 2273.0	...
1207619	 1024.4	  623.6	 2271.0	...
1207620	 1024.4	  623.6	 2269.0	...
1207621	 1023.9	  626.1	 2269.0	...
1207622	 1023.9	  626.1	 2265.0	...
1207623	 1024.1	  626.1	 2265.0	...
1207624	 1024.0	  624.0	 2265.0	...
1207625	 1024.3	  622.2	 2266.0	...
1207626	 1024.0	  622.2	 2264.0	...
1207627	 1024.0	  621.9	 2264.0	...
1207628	 1027.6	  621.9	 2272.0	...
1207629	 1027.4	  623.3	 2271.0	...
1207630	 1028.1	  625.2	 2271.0	...
1207631	 1028.6	  622.1	 2260.0	...
1207632	 1028.2	  622.1	 2260.0	...
1207633	 1027.7	  622.9	 2266.0	...
1207634	 1025.3	  623.7	 2273.0	...
1207635	 1025.4	  622.5	 2272.0	...
1207636	 1025.4	  622.5	 2272.0	...
1207637	 1025.1	  624.6	 2272.0	...
1207638	 1025.5	  625.3	 2281.0	...
1207639	 1025.9	  625.3	 2281.0	...
1207640	 1025.6	  627.3	 2287.0	...
1207641	 1024.2	  627.3	 2287.0	...
1207642	 1025.7	  626.1	 2289.0	...
1207643	 1026.0	  626.1	 2289.0	...
1207644	 1026.0	  626.1	 2283.0	...
1207645	 1026.0	  626.1	 2283.0	...
1207646	 1026.5	  622.7	 2279.0	...
1207647	 1025.5	  623.8	 2281.0	...
1207648	 1024.4	  625.0	 2281.0	...
1207649	 1024.0	  626.0	 2284.0	...
1207650	 1023.8	  626.0	 2284.0	...
1207651	 1023.4	  626.0	 2287.0	...
1207652	 1023.9	  627.1	 2287.0	...
1207653	 1024.3	  628.2	 2287.0	...
1207654	 1024.3	  628.2	 2287.0	...
1207655	 1024.0	  628.7	 2282.0	...
1207656	 1023.5	  629.2	 2282.0	...
1207657	 1021.3	  628.4	 2282.0	...
1207658	 1021.3	  628.4	 2291.0	...
1207659	 1023.5	  628.2	 2287.0	...
1207660	 1023.5	  628.2	 2288.0	...
1207661	 1022.5	  628.2	 2288.0	...
1207662	 1023.0	  626.7	 2289.0	...
